tag,role,core,readers,lines,iters,min,p50,p95,p99,max,avg
lines=1,writer,0,1,1,20000,480,686,714,726,30356,628.3
lines=1,reader,1,1,1,20000,258,290,384,390,5678,298.3
lines=2,writer,0,1,2,20000,652,732,746,752,9750,740.8
lines=2,reader,1,1,2,20000,268,304,384,388,4974,316.7
lines=4,writer,0,1,4,20000,694,796,934,940,17860,836.4
lines=4,reader,1,1,4,20000,324,386,444,494,4994,385.3
lines=8,writer,0,1,8,20000,656,1036,1206,1216,16054,1012.3
lines=8,reader,1,1,8,20000,400,608,730,802,4942,599.6
lines=16,writer,0,1,16,20000,1052,1246,1712,1762,18074,1330.9
lines=16,reader,1,1,16,20000,592,844,1296,1350,6494,899.6
lines=32,writer,0,1,32,20000,1294,1584,1974,2558,16950,1624.4
lines=32,reader,1,1,32,20000,992,1102,1552,2094,6266,1195.6
lines=64,writer,0,1,64,20000,2052,2354,4238,4766,20768,2639.9
lines=64,reader,1,1,64,20000,1720,1864,3748,4280,9004,2172.2
lines=128,writer,0,1,128,20000,3536,3822,7930,8692,26896,4317.1
lines=128,reader,1,1,128,20000,3188,3338,7458,8220,9918,3843.6
lines=256,writer,0,1,256,20000,6520,6804,15966,17062,21186,8605.5
lines=256,reader,1,1,256,20000,6164,6314,15492,16582,20648,8125.7
lines=512,writer,0,1,512,20000,12394,12790,28638,32312,35622,15395.8
lines=512,reader,1,1,512,20000,12052,12350,28152,31850,35106,14957.8
lines=1024,writer,0,1,1024,20000,21608,23834,42082,59266,67488,26797.3
lines=1024,reader,1,1,1024,20000,21148,23396,41638,58788,67036,26354.8
lines=2048,writer,0,1,2048,20000,32784,34270,62610,82854,128150,38815.8
lines=2048,reader,1,1,2048,20000,32448,33806,62140,82326,127698,38353.6
lines=4096,writer,0,1,4096,20000,49122,51686,65006,68526,3235502,54246.0
lines=4096,reader,1,1,4096,20000,48738,51184,64476,67950,143758,53592.5
lines=8192,writer,0,1,8192,20000,82148,84602,91730,95350,114206,85499.0
lines=8192,reader,1,1,8192,20000,81690,84110,91218,94832,113740,85006.3
lines=16384,writer,0,1,16384,20000,147430,150708,155526,158672,205090,150988.4
lines=16384,reader,1,1,16384,20000,146344,150200,155002,158110,167504,150466.1
lines=32768,writer,0,1,32768,20000,273660,277410,282864,286050,299748,277760.6
lines=32768,reader,1,1,32768,20000,273240,276920,282342,285492,299182,277269.7
lines=65536,writer,0,1,65536,20000,524240,541006,547304,550412,563388,541108.6
lines=65536,reader,1,1,65536,20000,523758,540544,546822,549890,562890,540649.7
lines=131072,writer,0,1,131072,20000,1040062,1083846,1094618,1112624,1837894,1084475.9
lines=131072,reader,1,1,131072,20000,1039542,1083300,1094070,1111560,1837330,1083930.6
lines=262144,writer,0,1,262144,20000,3582586,3682604,3927850,4416674,6390926,3735357.4
lines=262144,reader,1,1,262144,20000,3582164,3682032,3927398,4415616,6389922,3734803.1
lines=524288,writer,0,1,524288,20000,7799676,8140054,8483836,9629644,14078598,8209802.5
lines=524288,reader,1,1,524288,20000,7799130,8139390,8483054,9629186,14077794,8209142.3
