tag,role,core,readers,lines,iters,min,p50,p95,p99,max,avg
lines=1,writer,0,2,1,20000,710,726,742,788,15998,737.4
lines=1,reader,1,2,1,20000,282,338,360,372,4688,325.9
lines=1,reader,2,2,1,20000,280,314,366,374,4652,318.3
lines=2,writer,0,2,2,20000,628,704,728,740,19522,718.2
lines=2,reader,1,2,2,20000,282,310,342,348,4248,313.5
lines=2,reader,2,2,2,20000,280,324,378,380,4636,327.6
lines=4,writer,0,2,4,20000,666,804,1072,1148,20260,859.5
lines=4,reader,1,2,4,20000,328,398,622,710,4548,414.2
lines=4,reader,2,2,4,20000,332,400,614,728,4830,415.5
lines=8,writer,0,2,8,20000,812,1096,1302,1442,13478,1088.9
lines=8,reader,1,2,8,20000,384,552,852,952,5152,580.4
lines=8,reader,2,2,8,20000,388,586,862,926,5740,599.6
lines=16,writer,0,2,16,20000,1002,1220,1790,1906,18962,1297.2
lines=16,reader,1,2,16,20000,586,820,1382,1496,5644,875.4
lines=16,reader,2,2,16,20000,598,776,1386,1474,5794,850.6
lines=32,writer,0,2,32,20000,1368,1786,2848,3048,18282,1971.2
lines=32,reader,1,2,32,20000,970,1364,2394,2614,7996,1519.9
lines=32,reader,2,2,32,20000,980,1366,2398,2612,8462,1522.1
lines=64,writer,0,2,64,20000,2152,2416,4816,5154,16638,3166.5
lines=64,reader,1,2,64,20000,1700,1884,4348,4656,10708,2688.4
lines=64,reader,2,2,64,20000,1700,1900,4352,4660,9990,2701.4
lines=128,writer,0,2,128,20000,3586,3828,9220,9604,38212,5508.7
lines=128,reader,1,2,128,20000,3172,3366,8794,9168,12228,5069.8
lines=128,reader,2,2,128,20000,3186,3362,8794,9166,12192,5068.0
lines=256,writer,0,2,256,20000,6544,8608,18056,18534,37312,11858.6
lines=256,reader,1,2,256,20000,6128,7940,17602,18070,21138,11410.2
lines=256,reader,2,2,256,20000,6140,7962,17616,18078,21656,11417.2
lines=512,writer,0,2,512,20000,12472,12768,34562,35118,47360,21276.0
lines=512,reader,1,2,512,20000,12054,12296,34112,34634,37040,20817.8
lines=512,reader,2,2,512,20000,12048,12290,34096,34616,37002,20808.5
lines=1024,writer,0,2,1024,20000,22898,24560,68968,69798,81306,41363.0
lines=1024,reader,1,2,1024,20000,22466,24120,68544,69358,79588,40929.6
lines=1024,reader,2,2,1024,20000,22416,24118,68546,69346,79540,40930.1
lines=2048,writer,0,2,2048,20000,35414,53900,137594,138708,154328,83865.4
lines=2048,reader,1,2,2048,20000,35040,53428,137146,138214,145774,83407.1
lines=2048,reader,2,2,2048,20000,34986,53410,137124,138200,145806,83395.3
lines=4096,writer,0,2,4096,20000,52392,65228,136370,190838,277442,76440.5
lines=4096,reader,1,2,4096,20000,51942,64736,135962,190430,276878,75939.2
lines=4096,reader,2,2,4096,20000,51928,64738,135926,190390,276924,75939.2
lines=8192,writer,0,2,8192,20000,84644,92412,104634,114748,152478,93963.4
lines=8192,reader,1,2,8192,20000,84130,91810,104006,114158,151854,93375.6
lines=8192,reader,2,2,8192,20000,84080,91822,104018,114166,151886,93378.0
lines=16384,writer,0,2,16384,20000,149878,157390,169870,177170,196294,158312.9
lines=16384,reader,1,2,16384,20000,149364,156838,169314,176632,194254,157761.9
lines=16384,reader,2,2,16384,20000,149358,156838,169308,176558,195816,157764.4
lines=32768,writer,0,2,32768,20000,275160,283834,292674,298448,546874,284462.0
lines=32768,reader,1,2,32768,20000,274680,283300,292108,297856,525434,283926.0
lines=32768,reader,2,2,32768,20000,274646,283300,292082,297738,346090,283872.1
lines=65536,writer,0,2,65536,20000,539492,549932,559702,567094,604820,550596.9
lines=65536,reader,1,2,65536,20000,538946,549366,559048,566342,604208,550017.4
lines=65536,reader,2,2,65536,20000,538916,549364,559070,566310,604222,550018.4
lines=131072,writer,0,2,131072,20000,1077234,1091462,1137910,1176656,2314118,1097178.3
lines=131072,reader,1,2,131072,20000,1076694,1090906,1137426,1176036,2312894,1096608.4
lines=131072,reader,2,2,131072,20000,1076686,1090904,1137448,1176082,2312852,1096608.0
lines=262144,writer,0,2,262144,20000,3587974,3824366,5083636,5822858,9076564,4012935.5
lines=262144,reader,1,2,262144,20000,3587480,3823708,5082968,5821818,9075100,4012196.0
lines=262144,reader,2,2,262144,20000,3587522,3823740,5082922,5821870,9075098,4012195.8
lines=524288,writer,0,2,524288,20000,7786902,8224196,9110098,9676132,11395044,8330969.7
lines=524288,reader,1,2,524288,20000,7786184,8223392,9109378,9675474,11394200,8330189.1
lines=524288,reader,2,2,524288,20000,7786134,8223406,9109350,9675522,11394248,8330188.7
