tag,role,core,readers,lines,iters,min,p50,p95,p99,max,avg
lines=1,writer,0,3,1,20000,694,746,790,894,13456,766.6
lines=1,reader,1,3,1,20000,282,332,366,380,5782,332.1
lines=1,reader,2,3,1,20000,280,328,366,388,5564,330.9
lines=1,reader,3,3,1,20000,278,338,396,422,5342,342.7
lines=2,writer,0,3,2,20000,704,772,938,986,15728,808.5
lines=2,reader,1,3,2,20000,284,358,462,546,4596,363.2
lines=2,reader,2,3,2,20000,282,374,466,550,4670,370.9
lines=2,reader,3,3,2,20000,284,336,470,578,4988,349.9
lines=4,writer,0,3,4,20000,692,898,1116,1256,17174,921.4
lines=4,reader,1,3,4,20000,330,422,630,682,4954,445.9
lines=4,reader,2,3,4,20000,330,412,666,738,5508,441.1
lines=4,reader,3,3,4,20000,328,424,680,750,4870,448.7
lines=8,writer,0,3,8,20000,814,1068,1376,1514,29736,1136.4
lines=8,reader,1,3,8,20000,406,626,954,1038,6612,666.7
lines=8,reader,2,3,8,20000,400,626,952,1036,6278,662.0
lines=8,reader,3,3,8,20000,404,650,946,1030,29368,663.7
lines=16,writer,0,3,16,20000,1040,1316,1880,2048,33630,1406.1
lines=16,reader,1,3,16,20000,600,824,1458,1604,6068,922.9
lines=16,reader,2,3,16,20000,600,862,1456,1584,6066,935.6
lines=16,reader,3,3,16,20000,610,854,1458,1594,6158,933.6
lines=32,writer,0,3,32,20000,1422,1956,2812,3114,22178,2055.5
lines=32,reader,1,3,32,20000,994,1418,2316,2582,7418,1535.2
lines=32,reader,2,3,32,20000,978,1434,2324,2586,8320,1546.4
lines=32,reader,3,3,32,20000,970,1442,2338,2602,7500,1551.6
lines=64,writer,0,3,64,20000,2158,4130,5082,5394,145036,3844.5
lines=64,reader,1,3,64,20000,1722,3638,4588,4878,144494,3321.2
lines=64,reader,2,3,64,20000,1728,3650,4600,4896,144502,3330.1
lines=64,reader,3,3,64,20000,1718,3632,4580,4868,144762,3319.7
lines=128,writer,0,3,128,20000,3678,8578,9990,10454,58876,7645.9
lines=128,reader,1,3,128,20000,3182,8088,9496,9928,13482,7127.0
lines=128,reader,2,3,128,20000,3196,8100,9512,9934,12834,7136.6
lines=128,reader,3,3,128,20000,3198,8072,9486,9920,58402,7117.8
lines=256,writer,0,3,256,20000,6580,17104,18508,19120,44774,14500.2
lines=256,reader,1,3,256,20000,6156,16578,17976,18514,24020,13967.3
lines=256,reader,2,3,256,20000,6160,16600,17988,18540,23954,13978.7
lines=256,reader,3,3,256,20000,6146,16582,17966,18518,44294,13966.1
lines=512,writer,0,3,512,20000,12534,34336,36076,36794,97260,28380.3
lines=512,reader,1,3,512,20000,12054,33814,35552,36220,43912,27841.5
lines=512,reader,2,3,512,20000,12042,33798,35528,36202,40122,27828.4
lines=512,reader,3,3,512,20000,12044,33804,35532,36202,96750,27833.5
lines=1024,writer,0,3,1024,20000,23250,69500,71832,72736,493274,59202.3
lines=1024,reader,1,3,1024,20000,22716,69010,71330,72204,75950,58678.2
lines=1024,reader,2,3,1024,20000,22792,69016,71338,72206,75848,58679.1
lines=1024,reader,3,3,1024,20000,22744,69008,71324,72176,492764,58690.3
lines=2048,writer,0,3,2048,20000,35094,138556,141758,142978,152590,112607.8
lines=2048,reader,1,3,2048,20000,34652,138036,141214,142376,146510,112078.7
lines=2048,reader,2,3,2048,20000,34694,138036,141212,142376,146660,112078.8
lines=2048,reader,3,3,2048,20000,34664,138052,141238,142382,146334,112089.1
lines=4096,writer,0,3,4096,20000,52380,78468,251350,280310,285954,112372.5
lines=4096,reader,1,3,4096,20000,51846,77816,250688,279652,285354,111678.4
lines=4096,reader,2,3,4096,20000,51804,77810,250698,279650,285302,111674.1
lines=4096,reader,3,3,4096,20000,51824,77814,250696,279648,285404,111707.3
lines=8192,writer,0,3,8192,20000,85672,98062,117004,130826,181312,99244.7
lines=8192,reader,1,3,8192,20000,85086,97438,116194,130012,180754,98622.5
lines=8192,reader,2,3,8192,20000,85072,97438,116232,130028,180710,98625.4
lines=8192,reader,3,3,8192,20000,85112,97446,116314,130154,180728,98636.3
lines=16384,writer,0,3,16384,20000,150522,161072,174788,188418,234390,162112.0
lines=16384,reader,1,3,16384,20000,149706,160334,174024,187470,233562,161368.1
lines=16384,reader,2,3,16384,20000,149758,160338,174018,187398,233536,161368.1
lines=16384,reader,3,3,16384,20000,149748,160340,174008,187454,233590,161367.9
lines=32768,writer,0,3,32768,20000,282292,291844,303312,311066,346058,292856.9
lines=32768,reader,1,3,32768,20000,281704,291160,302614,310236,345298,292153.9
lines=32768,reader,2,3,32768,20000,281766,291156,302604,310226,345360,292152.8
lines=32768,reader,3,3,32768,20000,281712,291164,302610,310386,345312,292161.6
lines=65536,writer,0,3,65536,20000,544790,556614,568870,577588,644820,557441.7
lines=65536,reader,1,3,65536,20000,544114,555904,568086,576768,644046,556724.4
lines=65536,reader,2,3,65536,20000,544048,555900,568092,576712,644088,556722.6
lines=65536,reader,3,3,65536,20000,544092,555900,568116,576798,644100,556719.9
lines=131072,writer,0,3,131072,20000,1172106,1209434,1233166,1381256,5625660,1214381.6
lines=131072,reader,1,3,131072,20000,1170540,1208494,1232164,1379648,5624738,1213409.3
lines=131072,reader,2,3,131072,20000,1170448,1208486,1232182,1379696,5624714,1213409.6
lines=131072,reader,3,3,131072,20000,1170518,1208496,1232206,1379748,5624714,1213436.9
lines=262144,writer,0,3,262144,20000,3443680,3738614,4833812,5491154,9807084,3855250.2
lines=262144,reader,1,3,262144,20000,3442850,3737812,4830304,5488462,8786948,3854089.6
lines=262144,reader,2,3,262144,20000,3442898,3737814,4830462,5488398,8786956,3854096.8
lines=262144,reader,3,3,262144,20000,3442920,3737852,4832044,5489142,9805076,3854366.3
lines=524288,writer,0,3,524288,20000,7781284,8552346,10050816,11293468,21504254,8776457.6
lines=524288,reader,1,3,524288,20000,7780556,8551612,10050046,11288200,21503446,8775102.7
lines=524288,reader,2,3,524288,20000,7780612,8551622,10050052,11267250,17169430,8773495.8
lines=524288,reader,3,3,524288,20000,7780568,8551670,10050004,11267246,17169356,8773549.0
