tag,role,core,readers,lines,iters,min,p50,p95,p99,max,avg
lines=1,writer,0,4,1,20000,678,764,810,912,22950,780.5
lines=1,reader,1,4,1,20000,258,354,422,436,5366,351.1
lines=1,reader,2,4,1,20000,254,348,414,430,5144,342.3
lines=1,reader,3,4,1,20000,254,336,416,434,6492,338.9
lines=1,reader,4,4,1,20000,254,312,410,422,5440,328.8
lines=2,writer,0,4,2,20000,690,896,1232,1360,23208,946.2
lines=2,reader,1,4,2,20000,308,420,480,600,5116,412.9
lines=2,reader,2,4,2,20000,308,400,450,484,5718,394.0
lines=2,reader,3,4,2,20000,306,410,472,528,4996,409.2
lines=2,reader,4,4,2,20000,308,398,454,500,5142,393.9
lines=4,writer,0,4,4,20000,718,936,1272,1406,19460,1005.8
lines=4,reader,1,4,4,20000,316,416,558,628,17538,423.0
lines=4,reader,2,4,4,20000,312,426,518,622,5052,424.2
lines=4,reader,3,4,4,20000,312,422,526,622,6132,429.9
lines=4,reader,4,4,4,20000,316,420,524,628,4756,423.2
lines=8,writer,0,4,8,20000,868,1070,1318,1408,26850,1113.4
lines=8,reader,1,4,8,20000,422,638,760,818,18228,643.6
lines=8,reader,2,4,8,20000,422,634,766,826,5756,638.1
lines=8,reader,3,4,8,20000,416,632,750,818,6116,634.5
lines=8,reader,4,4,8,20000,406,602,762,850,5344,613.5
lines=16,writer,0,4,16,20000,1128,1420,1906,2068,30494,1537.9
lines=16,reader,1,4,16,20000,632,910,1430,1540,6012,1029.7
lines=16,reader,2,4,16,20000,626,910,1426,1542,5676,1029.2
lines=16,reader,3,4,16,20000,636,910,1424,1542,5626,1025.7
lines=16,reader,4,4,16,20000,638,900,1422,1546,6040,1010.4
lines=32,writer,0,4,32,20000,1476,2342,2986,3208,27828,2344.4
lines=32,reader,1,4,32,20000,1018,1770,2468,2686,7000,1791.5
lines=32,reader,2,4,32,20000,978,1786,2480,2718,6884,1803.8
lines=32,reader,3,4,32,20000,1000,1792,2492,2730,7140,1807.3
lines=32,reader,4,4,32,20000,1014,1790,2500,2740,6854,1814.2
lines=64,writer,0,4,64,20000,2204,4270,5172,5550,24474,4070.7
lines=64,reader,1,4,64,20000,1716,3752,4648,5006,8748,3528.1
lines=64,reader,2,4,64,20000,1730,3758,4664,5004,8670,3535.8
lines=64,reader,3,4,64,20000,1722,3760,4658,5010,8800,3538.2
lines=64,reader,4,4,64,20000,1730,3756,4654,5006,8716,3535.2
lines=128,writer,0,4,128,20000,3734,9006,10020,10482,28590,8204.6
lines=128,reader,1,4,128,20000,3246,8484,9494,9928,27944,7659.0
lines=128,reader,2,4,128,20000,3250,8458,9466,9888,28004,7637.8
lines=128,reader,3,4,128,20000,3246,8464,9470,9904,28050,7642.6
lines=128,reader,4,4,128,20000,3246,8472,9480,9910,27964,7649.4
lines=256,writer,0,4,256,20000,6638,17598,18736,19340,41372,16184.8
lines=256,reader,1,4,256,20000,6176,17058,18194,18732,32810,15633.8
lines=256,reader,2,4,256,20000,6168,17062,18196,18732,32718,15637.1
lines=256,reader,3,4,256,20000,6156,17070,18200,18744,32694,15645.2
lines=256,reader,4,4,256,20000,6176,17062,18196,18750,32806,15639.2
lines=512,writer,0,4,512,20000,12542,35044,36652,37458,63790,31593.3
lines=512,reader,1,4,512,20000,12104,34546,36156,36836,40916,31078.8
lines=512,reader,2,4,512,20000,12100,34564,36156,36846,41014,31090.6
lines=512,reader,3,4,512,20000,12108,34534,36128,36812,40956,31069.3
lines=512,reader,4,4,512,20000,12078,34540,36130,36828,49168,31072.0
lines=1024,writer,0,4,1024,20000,24098,69982,72218,73254,86594,61518.1
lines=1024,reader,1,4,1024,20000,23666,69482,71698,72648,83428,61006.1
lines=1024,reader,2,4,1024,20000,23690,69496,71712,72666,75158,61018.3
lines=1024,reader,3,4,1024,20000,23638,69468,71686,72630,75124,60996.4
lines=1024,reader,4,4,1024,20000,23622,69474,71686,72648,75176,60996.6
lines=2048,writer,0,4,2048,20000,38046,139502,142430,143836,157116,122912.0
lines=2048,reader,1,4,2048,20000,37492,138950,141858,143156,148402,122351.6
lines=2048,reader,2,4,2048,20000,37506,138956,141846,143164,146910,122352.1
lines=2048,reader,3,4,2048,20000,37530,138954,141848,143142,149484,122350.0
lines=2048,reader,4,4,2048,20000,37448,138948,141830,143154,147276,122348.3
lines=4096,writer,0,4,4096,20000,56014,175360,282796,285162,3461862,165684.0
lines=4096,reader,1,4,4096,20000,55362,174662,282100,284376,3461068,164906.7
lines=4096,reader,2,4,4096,20000,55446,174664,282084,284416,3461020,164904.1
lines=4096,reader,3,4,4096,20000,55404,174652,282082,284378,3461022,164905.3
lines=4096,reader,4,4,4096,20000,55452,174660,282108,284416,3461000,164985.2
lines=8192,writer,0,4,8192,20000,87682,107384,158004,196974,431868,114569.8
lines=8192,reader,1,4,8192,20000,87200,106688,157186,196320,431238,113890.0
lines=8192,reader,2,4,8192,20000,87242,106674,157220,196376,431330,113883.1
lines=8192,reader,3,4,8192,20000,87174,106670,157208,196326,431318,113880.4
lines=8192,reader,4,4,8192,20000,87108,106682,157218,196254,431246,113884.6
lines=16384,writer,0,4,16384,20000,157106,174336,211482,235964,482750,179100.1
lines=16384,reader,1,4,16384,20000,156438,173624,210778,235216,349680,178367.1
lines=16384,reader,2,4,16384,20000,156526,173622,210798,235266,482294,178379.4
lines=16384,reader,3,4,16384,20000,156496,173618,210752,235174,349634,178357.9
lines=16384,reader,4,4,16384,20000,156540,173634,210770,235154,349700,178359.1
lines=32768,writer,0,4,32768,20000,291302,308836,345810,377296,460048,313316.1
lines=32768,reader,1,4,32768,20000,290694,308130,345090,376628,459342,312633.5
lines=32768,reader,2,4,32768,20000,290674,308146,345022,376678,459374,312632.3
lines=32768,reader,3,4,32768,20000,290696,308124,345046,376688,459388,312633.9
lines=32768,reader,4,4,32768,20000,290638,308134,345072,376636,459330,312639.2
lines=65536,writer,0,4,65536,20000,560680,581364,615694,646440,755584,585280.4
lines=65536,reader,1,4,65536,20000,560020,580626,614944,645730,754846,584534.3
lines=65536,reader,2,4,65536,20000,560058,580628,614958,645706,754806,584536.8
lines=65536,reader,3,4,65536,20000,560086,580626,614968,645714,754724,584540.6
lines=65536,reader,4,4,65536,20000,560056,580616,614968,645698,754800,584533.4
lines=131072,writer,0,4,131072,20000,1209486,1237712,1281080,1345636,2001824,1244638.7
