tag,role,core,readers,lines,iters,min,p50,p95,p99,max,avg
lines=1,writer,0,5,1,20000,674,854,1070,1206,135248,917.0
lines=1,reader,1,5,1,20000,266,362,456,472,4512,366.6
lines=1,reader,2,5,1,20000,262,358,452,468,134782,369.6
lines=1,reader,3,5,1,20000,262,358,454,470,5026,361.2
lines=1,reader,4,5,1,20000,258,380,482,500,62264,382.2
lines=1,reader,5,5,1,20000,262,370,454,470,94882,375.4
lines=2,writer,0,5,2,20000,746,916,1140,1250,50632,961.0
lines=2,reader,1,5,2,20000,308,440,534,692,50188,444.4
lines=2,reader,2,5,2,20000,310,428,496,534,5310,422.2
lines=2,reader,3,5,2,20000,308,442,512,546,11628,431.2
lines=2,reader,4,5,2,20000,308,430,496,526,8920,422.9
lines=2,reader,5,5,2,20000,310,438,520,646,15270,439.0
lines=4,writer,0,5,4,20000,790,950,1272,1406,36614,1022.9
lines=4,reader,1,5,4,20000,330,472,684,778,6310,483.9
lines=4,reader,2,5,4,20000,332,472,588,642,5320,475.0
lines=4,reader,3,5,4,20000,330,460,566,636,10644,464.0
lines=4,reader,4,5,4,20000,336,468,576,646,5156,472.4
lines=4,reader,5,5,4,20000,338,466,586,652,36302,476.0
lines=8,writer,0,5,8,20000,956,1368,1632,1758,98732,1385.5
lines=8,reader,1,5,8,20000,414,650,1072,1154,5430,721.5
lines=8,reader,2,5,8,20000,406,638,1070,1152,5618,717.1
lines=8,reader,3,5,8,20000,414,636,1068,1156,11900,717.0
lines=8,reader,4,5,8,20000,408,652,1086,1174,6396,727.8
lines=8,reader,5,5,8,20000,414,658,1090,1214,57808,743.4
lines=16,writer,0,5,16,20000,1130,1516,1872,2110,181872,1563.4
lines=16,reader,1,5,16,20000,628,1064,1370,1570,6086,1046.3
lines=16,reader,2,5,16,20000,628,1054,1360,1552,181474,1046.6
lines=16,reader,3,5,16,20000,624,1064,1368,1560,11730,1036.5
lines=16,reader,4,5,16,20000,634,1066,1378,1584,5372,1045.4
lines=16,reader,5,5,16,20000,634,1060,1364,1568,59394,1044.3
lines=32,writer,0,5,32,20000,1464,2718,3378,3776,501826,2722.8
lines=32,reader,1,5,32,20000,994,2244,2904,3226,501446,2168.1
lines=32,reader,2,5,32,20000,1000,2260,2920,3254,197906,2167.5
lines=32,reader,3,5,32,20000,980,2250,2906,3236,13474,2134.1
lines=32,reader,4,5,32,20000,996,2238,2902,3212,6902,2123.9
lines=32,reader,5,5,32,20000,972,2240,2896,3230,179684,2171.4
lines=64,writer,0,5,64,20000,2286,4690,5400,5830,1074152,4667.8
lines=64,reader,1,5,64,20000,1730,4188,4886,5234,1073666,4101.8
lines=64,reader,2,5,64,20000,1740,4198,4898,5236,184412,4037.2
lines=64,reader,3,5,64,20000,1750,4198,4894,5248,179988,4035.5
lines=64,reader,4,5,64,20000,1740,4198,4896,5234,137744,4030.3
lines=64,reader,5,5,64,20000,1744,4196,4902,5238,137698,4054.3
lines=128,writer,0,5,128,20000,3730,9046,10070,10730,536158,8474.3
lines=128,reader,1,5,128,20000,3222,8560,9542,10016,206836,7763.1
lines=128,reader,2,5,128,20000,3230,8560,9538,10010,296006,7728.7
lines=128,reader,3,5,128,20000,3226,8550,9532,10026,140006,7744.0
lines=128,reader,4,5,128,20000,3218,8546,9532,10002,319854,7726.6
lines=128,reader,5,5,128,20000,3236,8566,9552,10048,535812,7839.5
lines=256,writer,0,5,256,20000,6648,18196,19530,20774,922732,17450.6
lines=256,reader,1,5,256,20000,6156,17718,19004,19718,922224,16637.1
lines=256,reader,2,5,256,20000,6186,17718,19010,19678,149934,16523.3
lines=256,reader,3,5,256,20000,6158,17726,19020,19714,573260,16608.2
lines=256,reader,4,5,256,20000,6202,17712,19000,19660,192834,16513.3
lines=256,reader,5,5,256,20000,6168,17718,19032,19832,546078,16668.1
lines=512,writer,0,5,512,20000,12618,36212,37886,39780,957078,34424.2
lines=512,reader,1,5,512,20000,12108,35700,37300,38054,268912,33122.7
lines=512,reader,2,5,512,20000,12152,35698,37312,38124,534010,33325.9
lines=512,reader,3,5,512,20000,12112,35704,37324,38138,956612,33470.8
lines=512,reader,4,5,512,20000,12160,35710,37312,38096,268994,33155.7
lines=512,reader,5,5,512,20000,12148,35700,37320,38140,269038,33181.7
lines=1024,writer,0,5,1024,20000,24470,72032,74332,86672,2922720,69200.0
lines=1024,reader,1,5,1024,20000,23850,71538,73708,75214,2894682,67943.5
lines=1024,reader,2,5,1024,20000,23794,71532,73684,74976,2894778,68031.5
lines=1024,reader,3,5,1024,20000,23752,71546,73688,74916,2922284,67722.0
lines=1024,reader,4,5,1024,20000,23772,71522,73666,74856,2894752,67689.0
lines=1024,reader,5,5,1024,20000,23790,71530,73694,74996,2894684,67686.7
lines=2048,writer,0,5,2048,20000,40474,143824,147084,185854,4020940,133176.5
lines=2048,reader,1,5,2048,20000,39778,143294,146330,148174,3258938,130911.4
