tag,role,core,readers,lines,iters,min,p50,p95,p99,max,avg
lines=1,writer,0,127,1,20000,3282,4204,4966,5502,280108,4461.3
lines=1,reader,1,127,1,20000,526,970,1360,1674,156096,997.9
lines=1,reader,2,127,1,20000,536,976,1376,1692,13370,1000.8
lines=1,reader,3,127,1,20000,514,966,1372,1674,18762,988.9
lines=1,reader,4,127,1,20000,524,966,1362,1660,21630,990.1
lines=1,reader,5,127,1,20000,534,968,1366,1676,20664,991.6
lines=1,reader,6,127,1,20000,534,962,1360,1684,15460,983.8
lines=1,reader,7,127,1,20000,522,964,1360,1672,20626,988.0
lines=1,reader,8,127,1,20000,534,970,1364,1692,21500,992.6
lines=1,reader,9,127,1,20000,514,964,1366,1674,20502,989.3
lines=1,reader,10,127,1,20000,524,962,1358,1680,20398,982.1
lines=1,reader,11,127,1,20000,530,962,1358,1656,14028,982.7
lines=1,reader,12,127,1,20000,528,960,1360,1680,17552,984.7
lines=1,reader,13,127,1,20000,534,958,1358,1662,22250,979.5
lines=1,reader,14,127,1,20000,530,960,1364,1674,18100,982.8
lines=1,reader,15,127,1,20000,528,962,1358,1672,18944,984.5
lines=1,reader,16,127,1,20000,534,960,1364,1674,19712,982.4
lines=1,reader,17,127,1,20000,536,960,1364,1676,21680,981.8
lines=1,reader,18,127,1,20000,530,960,1366,1664,19332,982.8
lines=1,reader,19,127,1,20000,536,958,1366,1696,14648,979.0
lines=1,reader,20,127,1,20000,538,966,1370,1682,21560,988.7
lines=1,reader,21,127,1,20000,536,958,1362,1670,14864,980.3
lines=1,reader,22,127,1,20000,538,960,1366,1674,15592,983.4
lines=1,reader,23,127,1,20000,516,952,1362,1676,19524,975.3
lines=1,reader,24,127,1,20000,532,962,1364,1684,13942,981.4
lines=1,reader,25,127,1,20000,532,966,1364,1680,15848,983.2
lines=1,reader,26,127,1,20000,526,954,1374,1698,18160,980.6
lines=1,reader,27,127,1,20000,530,956,1358,1676,14440,977.4
lines=1,reader,28,127,1,20000,530,960,1364,1696,12940,981.8
lines=1,reader,29,127,1,20000,516,958,1358,1680,15134,978.2
lines=1,reader,30,127,1,20000,528,958,1362,1682,16872,979.8
lines=1,reader,31,127,1,20000,532,956,1362,1694,15250,976.7
lines=1,reader,32,127,1,20000,706,1628,1972,2342,22706,1625.0
lines=1,reader,33,127,1,20000,678,1628,1972,2338,24076,1622.6
lines=1,reader,34,127,1,20000,702,1622,1968,2340,24596,1619.2
lines=1,reader,35,127,1,20000,690,1620,1972,2340,22948,1619.5
lines=1,reader,36,127,1,20000,702,1628,1970,2352,20964,1623.3
lines=1,reader,37,127,1,20000,650,1618,1968,2338,22856,1614.1
lines=1,reader,38,127,1,20000,714,1618,1968,2370,23996,1616.3
lines=1,reader,39,127,1,20000,676,1616,1964,2334,21358,1612.8
lines=1,reader,40,127,1,20000,686,1618,1966,2354,24652,1613.9
lines=1,reader,41,127,1,20000,620,1622,1968,2350,24400,1619.5
lines=1,reader,42,127,1,20000,712,1616,1966,2342,23240,1613.8
lines=1,reader,43,127,1,20000,700,1616,1958,2348,23932,1611.8
lines=1,reader,44,127,1,20000,698,1620,1964,2354,24176,1613.8
lines=1,reader,45,127,1,20000,716,1614,1960,2344,17860,1607.9
lines=1,reader,46,127,1,20000,694,1616,1964,2332,19738,1615.1
lines=1,reader,47,127,1,20000,702,1616,1964,2342,22216,1611.4
lines=1,reader,48,127,1,20000,698,1620,1964,2328,21432,1614.2
lines=1,reader,49,127,1,20000,686,1614,1964,2352,19144,1611.5
lines=1,reader,50,127,1,20000,702,1618,1970,2360,23780,1615.0
lines=1,reader,51,127,1,20000,702,1622,1972,2346,24114,1619.8
lines=1,reader,52,127,1,20000,690,1616,1964,2340,22930,1609.9
lines=1,reader,53,127,1,20000,690,1616,1962,2350,22960,1611.7
lines=1,reader,54,127,1,20000,706,1618,1970,2354,18830,1613.1
lines=1,reader,55,127,1,20000,698,1616,1966,2328,22118,1610.7
lines=1,reader,56,127,1,20000,636,1618,1966,2356,23662,1614.8
lines=1,reader,57,127,1,20000,634,1610,1962,2332,170924,1616.3
lines=1,reader,58,127,1,20000,706,1612,1960,2342,19336,1607.7
