tag,role,core,readers,lines,iters,min,p50,p95,p99,max,avg
lines=1,writer,0,3,1,20000,690,822,938,964,257900,855.8
lines=1,reader,1,3,1,20000,274,402,442,446,5530,372.6
lines=1,reader,2,3,1,20000,278,412,444,448,254924,403.4
lines=1,reader,3,3,1,20000,272,410,442,446,5862,376.1
lines=2,writer,0,3,2,20000,660,818,940,964,317586,861.9
lines=2,reader,1,3,2,20000,260,368,404,412,314316,372.7
lines=2,reader,2,3,2,20000,264,384,404,410,7528,377.7
lines=2,reader,3,3,2,20000,258,376,404,414,7100,362.9
lines=4,writer,0,3,4,20000,782,1004,1202,1350,351074,1058.4
lines=4,reader,1,3,4,20000,332,510,634,724,348062,539.9
lines=4,reader,2,3,4,20000,336,512,644,720,7976,526.8
lines=4,reader,3,3,4,20000,334,518,664,748,8198,528.9
lines=8,writer,0,3,8,20000,848,1154,1420,1566,279192,1208.5
lines=8,reader,1,3,8,20000,426,620,744,892,7448,637.5
lines=8,reader,2,3,8,20000,424,642,740,912,275984,653.0
lines=8,reader,3,3,8,20000,424,614,730,752,7376,634.0
lines=16,writer,0,3,16,20000,1116,1348,1516,1590,332558,1392.8
lines=16,reader,1,3,16,20000,622,848,1026,1058,6308,850.3
lines=16,reader,2,3,16,20000,610,864,1024,1052,329434,881.3
lines=16,reader,3,3,16,20000,646,886,1030,1064,7928,887.9
lines=32,writer,0,3,32,20000,1522,2542,3476,3808,262654,2508.8
lines=32,reader,1,3,32,20000,982,2004,2926,3216,9366,1938.9
lines=32,reader,2,3,32,20000,994,2024,2946,3230,9212,1973.8
lines=32,reader,3,3,32,20000,984,2002,2904,3208,258904,1951.9
lines=64,writer,0,3,64,20000,2242,2470,5618,6114,44474,2758.6
lines=64,reader,1,3,64,20000,1742,1942,5068,5512,13166,2224.6
lines=64,reader,2,3,64,20000,1742,1960,5098,5526,13622,2237.4
lines=64,reader,3,3,64,20000,1740,1948,5086,5522,12604,2224.7
lines=128,writer,0,3,128,20000,3702,4070,10274,10788,567124,6171.2
lines=128,reader,1,3,128,20000,3216,3500,9744,10226,25452,5578.3
lines=128,reader,2,3,128,20000,3206,3500,9742,10238,26844,5579.0
lines=128,reader,3,3,128,20000,3194,3500,9744,10238,27376,5574.6
