tag,role,core,readers,lines,iters,min,p50,p95,p99,max,avg
lines=1,writer,0,2,1,20000,384,492,548,568,23228,495.5
lines=1,reader,1,2,1,20000,172,212,228,228,11924,206.7
lines=1,reader,2,2,1,20000,168,212,228,228,7148,210.8
lines=2,writer,0,2,2,20000,480,636,748,756,16336,641.8
lines=2,reader,1,2,2,20000,200,308,324,336,8648,299.3
lines=2,reader,2,2,2,20000,196,312,328,332,7364,299.8
lines=4,writer,0,2,4,20000,488,628,756,788,25916,649.3
lines=4,reader,1,2,4,20000,192,344,364,380,6940,330.1
lines=4,reader,2,2,4,20000,196,348,368,380,6260,329.0
lines=8,writer,0,2,8,20000,608,820,916,968,23016,834.0
lines=8,reader,1,2,8,20000,332,468,576,604,9380,477.9
lines=8,reader,2,2,8,20000,344,452,532,580,8528,457.7
lines=16,writer,0,2,16,20000,748,1000,1128,1200,22504,1021.4
lines=16,reader,1,2,16,20000,500,656,796,836,9400,673.4
lines=16,reader,2,2,16,20000,504,660,784,824,12684,673.7
lines=32,writer,0,2,32,20000,1176,1496,1688,1816,26064,1513.5
lines=32,reader,1,2,32,20000,860,1132,1324,1432,10028,1142.2
lines=32,reader,2,2,32,20000,848,1092,1320,1436,8620,1110.2
lines=64,writer,0,2,64,20000,1784,2044,2172,2240,16740,2062.7
lines=64,reader,1,2,64,20000,1524,1668,1800,1860,9496,1687.5
lines=64,reader,2,2,64,20000,1488,1636,1788,1856,8836,1660.3
lines=128,writer,0,2,128,20000,3096,3324,3448,3520,18512,3347.0
lines=128,reader,1,2,128,20000,2828,2956,3088,3148,11840,2977.7
lines=128,reader,2,2,128,20000,2816,2960,3104,3176,11704,2984.5
lines=256,writer,0,2,256,20000,5756,6012,6148,6224,34536,6040.9
lines=256,reader,1,2,256,20000,5472,5648,5776,5856,34296,5673.4
lines=256,reader,2,2,256,20000,5500,5660,5816,5896,13460,5688.3
lines=512,writer,0,2,512,20000,11044,11308,11444,11532,86764,11347.2
lines=512,reader,1,2,512,20000,10784,10948,11080,11152,41652,10981.0
lines=512,reader,2,2,512,20000,10792,10960,11112,11196,18964,10991.3
lines=1024,writer,0,2,1024,20000,20548,21956,22112,22228,49092,21935.0
lines=1024,reader,1,2,1024,20000,20172,21592,21744,21832,35316,21557.9
lines=1024,reader,2,2,1024,20000,20156,21604,21764,21868,47640,21570.6
lines=2048,writer,0,2,2048,20000,36196,37008,37800,41900,57972,37144.3
lines=2048,reader,1,2,2048,20000,35812,36648,37428,40972,43908,36771.4
lines=2048,reader,2,2,2048,20000,35824,36648,37432,40960,43920,36772.7
lines=4096,writer,0,2,4096,20000,65616,66972,67928,72916,162080,67154.9
lines=4096,reader,1,2,4096,20000,65280,66624,67560,72480,161744,66794.0
lines=4096,reader,2,2,4096,20000,65268,66624,67560,72480,87372,66789.1
lines=8192,writer,0,2,8192,20000,126408,128016,129532,134604,151632,128267.3
lines=8192,reader,1,2,8192,20000,126060,127656,129100,134156,151316,127896.0
lines=8192,reader,2,2,8192,20000,126048,127656,129096,134136,141120,127895.4
lines=16384,writer,0,2,16384,20000,221420,223980,228488,230972,296184,224379.1
lines=16384,reader,1,2,16384,20000,221068,223616,228000,230596,295880,224003.9
lines=16384,reader,2,2,16384,20000,221056,223616,228012,230556,239432,223998.1
lines=32768,writer,0,2,32768,20000,410684,414804,420332,422168,632816,415254.8
lines=32768,reader,1,2,32768,20000,410292,414436,419932,421688,499772,414869.4
lines=32768,reader,2,2,32768,20000,410280,414436,419920,421700,632420,414879.9
lines=65536,writer,0,2,65536,20000,766224,770996,780552,782244,918956,772533.5
lines=65536,reader,1,2,65536,20000,765844,770616,780104,781752,918528,772125.4
lines=65536,reader,2,2,65536,20000,765832,770616,780108,781752,815496,772121.2
lines=131072,writer,0,2,131072,20000,1808508,1866296,1902112,2001624,2658420,1868565.8
lines=131072,reader,1,2,131072,20000,1807696,1865480,1901144,2001012,2657592,1867741.2
lines=131072,reader,2,2,131072,20000,1807680,1865468,1901160,2001000,2657580,1867734.1
lines=262144,writer,0,2,262144,20000,5724948,5851320,5899920,6076372,7036196,5851932.4
lines=262144,reader,1,2,262144,20000,5724328,5850324,5898468,6075344,7035248,5850882.7
lines=262144,reader,2,2,262144,20000,5724316,5850324,5898460,6075352,7035220,5850876.7
lines=524288,writer,0,2,524288,20000,11198132,11507604,11683932,12425308,119047052,11561073.9
lines=524288,reader,1,2,524288,20000,11197112,11506576,11681964,12327336,58041056,11549910.5
lines=524288,reader,2,2,524288,20000,11197100,11506572,11683032,12422052,68727944,11552810.4
